============================================================
女足亚洲杯 | 比赛时间: 2026-03-15 13:00 | 日本女 VS 菲律宾女足 | ID: 1318974
============================================================

【 让球指数变动（包含多重让球） 】
  机构: 竞彩官方
  [2026-03-15 12:14:01] 让球:-4   胜:1.96   平:4.9    负:2.41  
  [2026-03-15 04:38:40] 让球:-4   胜:2.2    平:4.8    负:2.25  
  [2026-03-15 02:34:21] 让球:-4   胜:2.2    平:4.8    负:2.2   
  [2026-03-15 00:04:07] 让球:-4   胜:2.2    平:4.8    负:2.25  
  [2026-03-14 20:40:44] 让球:-4   胜:2.05   平:4.8    负:2.37  
  [2026-03-14 20:39:14] 让球:-4   胜:2.05   平:4.8    负:2.3   
  [2026-03-14 20:37:47] 让球:-4   胜:2.1    平:4.8    负:2.3   
  [2026-03-14 20:36:22] 让球:-4   胜:2.15   平:4.8    负:2.25  
  [2026-03-14 20:33:30] 让球:-4   胜:2.1    平:4.8    负:2.3   
  [2026-03-14 20:30:36] 让球:-4   胜:2.15   平:4.8    负:2.3   
  [2026-03-14 01:07:30] 让球:-4   胜:2.15   平:4.8    负:2.25  
  [2026-03-14 00:22:31] 让球:-4   胜:2.3    平:4.8    负:2.1   
  [2026-03-14 00:10:44] 让球:-4   胜:2.3    平:4.8    负:2.15  
  [2026-03-13 21:54:09] 让球:-4   胜:2.25   平:4.8    负:2.15  
  [2026-03-13 21:51:16] 让球:-4   胜:2.3    平:4.8    负:2.15  
  [2026-03-13 12:17:52] 让球:-4   胜:2.37   平:4.6    负:2.05  
  [2026-03-13 09:27:00] 让球:-4   胜:2.4    平:4.8    负:2.05  
  [2026-03-13 08:29:52] 让球:-4   胜:2.45   平:4.8    负:2.05  
  [2026-03-13 08:22:59] 让球:-4   胜:2.45   平:4.8    负:2     
  [2026-03-13 08:21:37] 让球:-4   胜:2.45   平:4.8    负:2.05  
  [2026-03-13 08:18:55] 让球:-4   胜:2.45   平:4.8    负:2     
  [2026-03-13 08:17:34] 让球:-4   胜:2.45   平:4.8    负:2.05  
  [2026-03-13 08:13:29] 让球:-4   胜:2.45   平:4.8    负:2     
  [2026-03-13 08:09:18] 让球:-4   胜:2.45   平:4.8    负:2.05  
  [2026-03-13 08:05:14] 让球:-4   胜:2.45   平:4.8    负:2     
  [2026-03-13 08:01:11] 让球:-4   胜:2.45   平:4.8    负:2.05  
  [2026-03-13 07:58:27] 让球:-4   胜:2.45   平:4.8    负:2     
  [2026-03-13 07:57:06] 让球:-4   胜:2.45   平:4.8    负:2.05  
  [2026-03-13 07:54:23] 让球:-4   胜:2.45   平:4.8    负:2     
  [2026-03-13 07:51:31] 让球:-4   胜:2.45   平:4.8    负:2.05  
  [2026-03-13 07:48:49] 让球:-4   胜:2.45   平:4.8    负:2     
  [2026-03-13 07:46:09] 让球:-4   胜:2.45   平:4.8    负:2.05  
  [2026-03-13 07:43:28] 让球:-4   胜:2.45   平:4.8    负:2     
  [2026-03-13 07:42:06] 让球:-4   胜:2.45   平:4.8    负:2.05  
  [2026-03-13 07:38:01] 让球:-4   胜:2.45   平:4.8    负:2     
  [2026-03-13 07:36:36] 让球:-4   胜:2.45   平:4.8    负:2.05  
  [2026-03-13 07:32:28] 让球:-4   胜:2.45   平:4.8    负:2     
  [2026-03-13 07:31:06] 让球:-4   胜:2.45   平:4.8    负:2.05  
  [2026-03-13 07:27:01] 让球:-4   胜:2.45   平:4.8    负:2     
  [2026-03-13 07:25:40] 让球:-4   胜:2.45   平:4.8    负:2.05  
  [2026-03-13 07:22:59] 让球:-4   胜:2.45   平:4.8    负:2     
  [2026-03-13 07:21:38] 让球:-4   胜:2.45   平:4.8    负:2.05  
  [2026-03-13 07:18:50] 让球:-4   胜:2.45   平:4.8    负:2     
  [2026-03-13 07:14:45] 让球:-4   胜:2.45   平:4.8    负:2.05  
  [2026-03-13 07:12:03] 让球:-4   胜:2.45   平:4.8    负:2     
  [2026-03-13 07:10:42] 让球:-4   胜:2.45   平:4.8    负:2.05  
  [2026-03-13 07:06:40] 让球:-4   胜:2.45   平:4.8    负:2     
  [2026-03-13 07:03:54] 让球:-4   胜:2.45   平:4.8    负:2.05  
  [2026-03-13 07:01:03] 让球:-4   胜:2.45   平:4.8    负:2     
  [2026-03-13 06:58:21] 让球:-4   胜:2.45   平:4.8    负:2.05  
  [2026-03-13 06:51:36] 让球:-4   胜:2.45   平:4.8    负:2     
  [2026-03-13 06:48:53] 让球:-4   胜:2.45   平:4.8    负:2.05  
  [2026-03-13 06:46:13] 让球:-4   胜:2.45   平:4.8    负:2     
  [2026-03-13 06:38:06] 让球:-4   胜:2.45   平:4.6    负:2.05  
  [2026-03-13 06:36:46] 让球:-4   胜:2.45   平:4.8    负:2     
  [2026-03-13 06:34:05] 让球:-4   胜:2.45   平:4.6    负:2.05  
  [2026-03-13 06:32:45] 让球:-4   胜:2.45   平:4.8    负:2     
  [2026-03-13 06:29:55] 让球:-4   胜:2.45   平:4.6    负:2.05  
  [2026-03-13 06:27:11] 让球:-4   胜:2.45   平:4.8    负:2     
  [2026-03-13 06:24:30] 让球:-4   胜:2.4    平:4.8    负:2.05  
  --------------------------------------------------


