============================================================
意甲 | 比赛时间: 2026-04-06 02:45 | 国际米兰 VS 罗马 | ID: 1199649
============================================================

【 欧赔指数变动 】
  机构: 竞彩官方 (最近更新: 2026-04-03 11:02:54)
  [2026-04-01 22:01:33] 胜:1.63   平:3.95   负:5.25  
  [2026-03-31 23:38:50] 胜:1.65   平:3.95   负:5.25  
  [2026-03-30 20:45:17] 胜:1.63   平:3.95   负:5.25  
  [2026-03-30 15:06:54] 胜:1.65   平:3.95   负:5.25  
  [2026-03-26 01:42:36] 胜:1.63   平:3.9    负:5.5   
  [2026-03-25 10:33:36] 胜:1.65   平:3.9    负:5.5   
  [2026-03-25 08:27:07] 胜:1.65   平:3.85   负:5.25  
  [2026-03-25 07:57:48] 胜:1.67   平:3.85   负:5.25  
  [2026-03-25 06:07:20] 胜:1.65   平:3.85   负:5.25  
  [2026-03-23 06:26:06] 胜:1.65   平:3.9    负:5.25  
  [2026-03-23 04:40:08] 胜:1.65   平:3.85   负:5.5   
  [2026-03-23 03:03:29] 胜:1.65   平:3.9    负:5.25  
  [2026-03-23 02:13:05] 胜:1.65   平:3.85   负:5.5   
  [2026-03-22 21:14:06] 胜:1.65   平:3.9    负:5.25  
  [2026-03-16 21:51:15] 胜:1.65   平:3.85   负:5.5   
  [2026-03-16 19:55:10] 胜:1.65   平:3.8    负:5.5   
  [2026-03-16 18:04:08] 胜:1.67   平:3.85   负:5.25  
  --------------------------------------------------
  机构: 皇冠 (最近更新: 2026-04-05 14:49:14)
  [2026-04-05 14:49:14] 胜:1.62   平:4      负:5.7   
  [2026-04-05 12:09:34] 胜:1.64   平:4      负:5.5   
  [2026-04-05 11:17:28] 胜:1.62   平:4      负:5.2   
  [2026-04-03 10:32:15] 胜:1.64   平:4.05   负:5.2   
  [2026-04-03 10:20:12] 胜:1.64   平:4.1    负:5.2   
  [2026-04-03 09:59:10] 胜:1.65   平:4.1    负:5.2   
  [2026-04-03 09:49:40] 胜:1.66   平:4.05   负:5.1   
  [2026-03-22 18:34:13] 胜:1.66   平:4.1    负:5.1   
  --------------------------------------------------
  机构: 平博 (最近更新: 2026-04-05 20:35:07)
  [2026-04-05 20:35:07] 胜:1.63   平:4.01   负:5.84  
  [2026-04-05 20:21:51] 胜:1.63   平:4      负:5.85  
  [2026-04-05 20:13:30] 胜:1.63   平:3.99   负:5.85  
  [2026-04-05 20:01:05] 胜:1.63   平:3.98   负:5.86  
  [2026-04-05 19:05:51] 胜:1.63   平:3.97   负:5.86  
  [2026-04-05 17:14:17] 胜:1.64   平:3.97   负:5.86  
  [2026-04-05 17:05:06] 胜:1.63   平:4.03   负:5.81  
  [2026-04-05 15:53:58] 胜:1.63   平:3.99   负:5.85  
  [2026-04-05 15:13:52] 胜:1.63   平:3.98   负:5.84  
  [2026-04-05 15:01:32] 胜:1.63   平:4      负:5.88  
  [2026-04-05 14:59:39] 胜:1.63   平:4.03   负:5.9   
  [2026-04-05 14:23:52] 胜:1.62   平:4      负:5.84  
  [2026-04-05 14:20:46] 胜:1.62   平:4.01   负:5.84  
  [2026-04-05 14:15:26] 胜:1.63   平:3.93   负:5.91  
  [2026-04-05 12:14:28] 胜:1.67   平:3.95   负:5.39  
  [2026-04-05 12:12:54] 胜:1.67   平:3.96   负:5.39  
  [2026-04-05 12:08:06] 胜:1.67   平:3.98   负:5.39  
  [2026-04-05 05:35:43] 胜:1.66   平:4.03   负:5.38  
  [2026-04-05 03:08:42] 胜:1.66   平:4.05   负:5.37  
  [2026-04-05 00:43:10] 胜:1.66   平:4.01   负:5.37  
  [2026-04-04 17:20:48] 胜:1.67   平:4      负:5.36  
  [2026-04-03 23:31:17] 胜:1.67   平:3.99   负:5.35  
  [2026-04-01 19:21:34] 胜:1.66   平:4.03   负:5.34  
  [2026-03-31 02:48:20] 胜:1.66   平:4.04   负:5.36  
  [2026-03-30 22:52:33] 胜:1.65   平:4.01   负:5.31  
  [2026-03-29 03:54:18] 胜:1.65   平:4.02   负:5.3   
  [2026-03-25 21:33:53] 胜:1.65   平:4.03   负:5.31  
  [2026-03-25 10:34:12] 胜:1.63   平:3.98   负:5.22  
  [2026-03-25 10:15:57] 胜:1.72   平:3.72   负:4.89  
  [2026-03-25 07:56:49] 胜:1.69   平:3.81   负:5     
  [2026-03-25 07:48:06] 胜:1.75   平:3.58   负:4.69  
  [2026-03-25 05:58:19] 胜:1.7    平:3.68   负:4.82  
  [2026-03-25 05:53:12] 胜:1.66   平:3.79   负:4.96  
  [2026-03-16 16:53:41] 胜:1.63   平:3.91   负:5.1   
  --------------------------------------------------
  机构: 利记 (最近更新: 2026-04-05 20:47:12)
  [2026-04-05 21:01:49] 胜:1.64   平:3.85   负:5.5   
  [2026-04-05 20:58:20] 胜:1.64   平:3.83   负:5.5   
  [2026-04-05 20:47:12] 胜:1.63   平:3.87   负:5.6   
  [2026-04-05 20:30:54] 胜:1.63   平:3.84   负:5.6   
  [2026-04-05 20:14:28] 胜:1.63   平:3.86   负:5.6   
  [2026-04-05 19:13:10] 胜:1.63   平:3.84   负:5.6   
  [2026-04-05 18:10:13] 胜:1.63   平:3.86   负:5.6   
  [2026-04-05 18:04:11] 胜:1.62   平:3.88   负:5.6   
  [2026-04-05 17:51:09] 胜:1.62   平:3.79   负:5.2   
  [2026-04-05 17:45:30] 胜:1.63   平:3.77   负:5.2   
  [2026-04-05 17:19:05] 胜:1.63   平:3.75   负:5.2   
  [2026-04-05 17:13:51] 胜:1.63   平:3.76   负:5.2   
  [2026-04-05 17:10:09] 胜:1.63   平:3.75   负:5.2   
  [2026-04-05 16:29:54] 胜:1.65   平:3.7    负:5.1   
  [2026-04-05 15:25:27] 胜:1.65   平:3.71   负:5.1   
  [2026-04-05 15:22:16] 胜:1.65   平:3.7    负:5.1   
  [2026-04-05 15:14:44] 胜:1.65   平:3.63   负:5     
  [2026-04-05 15:00:05] 胜:1.65   平:3.64   负:5     
  [2026-04-05 14:50:49] 胜:1.67   平:3.59   负:4.92  
  [2026-04-05 14:19:17] 胜:1.67   平:3.61   负:4.88  
  [2026-04-05 13:54:14] 胜:1.67   平:3.62   负:4.87  
  [2026-04-05 13:52:13] 胜:1.67   平:3.61   负:4.88  
  [2026-04-05 13:07:05] 胜:1.67   平:3.62   负:4.87  
  [2026-04-05 12:10:27] 胜:1.67   平:3.63   负:4.85  
  [2026-04-05 05:23:53] 胜:1.65   平:3.53   负:4.73  
  [2026-04-05 04:06:38] 胜:1.65   平:3.54   负:4.72  
  [2026-04-04 23:14:59] 胜:1.65   平:3.53   负:4.73  
  [2026-04-04 03:27:02] 胜:1.62   平:3.6    负:4.86  
  [2026-04-04 03:19:14] 胜:1.59   平:3.49   负:4.7   
  [2026-04-03 18:08:27] 胜:1.62   平:3.6    负:4.86  
  [2026-04-02 01:49:59] 胜:1.62   平:3.58   负:4.91  
  [2026-04-02 01:47:23] 胜:1.59   平:3.47   负:4.75  
  [2026-04-01 23:10:03] 胜:1.62   平:3.58   负:4.91  
  [2026-04-01 23:03:22] 胜:1.59   平:3.47   负:4.75  
  [2026-04-01 05:15:50] 胜:1.62   平:3.58   负:4.91  
  [2026-03-31 21:18:16] 胜:1.59   平:3.47   负:4.75  
  [2026-03-31 00:09:06] 胜:1.62   平:3.58   负:4.91  
  [2026-03-28 23:54:58] 胜:1.57   平:3.52   负:4.79  
  [2026-03-28 12:38:19] 胜:1.6    平:3.63   负:4.95  
  [2026-03-28 12:27:27] 胜:1.57   平:3.52   负:4.79  
  [2026-03-28 06:38:44] 胜:1.6    平:3.63   负:4.95  
  [2026-03-28 01:08:35] 胜:1.57   平:3.52   负:4.79  
  [2026-03-27 22:56:07] 胜:1.6    平:3.63   负:4.95  
  [2026-03-23 05:21:34] 胜:1.6    平:3.65   负:4.91  
  [2026-03-16 20:40:33] 胜:1.6    平:3.64   负:4.97  
  [2026-03-16 17:55:40] 胜:1.62   平:3.6    负:4.8   
  --------------------------------------------------


