============================================================
法甲 | 比赛时间: 2026-04-06 02:45 | 摩纳哥 VS 马赛 | ID: 1205775
============================================================

【 欧赔指数变动 】
  机构: 竞彩官方 (最近更新: 2026-04-03 09:41:31)
  [2026-03-29 20:59:38] 胜:2.12   平:3.52   负:2.81  
  --------------------------------------------------
  机构: 立博 (最近更新: 2026-04-05 19:46:15)
  [2026-04-05 19:46:15] 胜:2.1    平:3.75   负:3.1   
  [2026-04-05 19:43:24] 胜:2.1    平:3.6    负:3.2   
  [2026-04-05 12:04:40] 胜:2.1    平:3.7    负:3.2   
  [2026-04-05 02:26:59] 胜:2.1    平:3.75   负:3.2   
  [2026-04-04 21:50:15] 胜:2.1    平:3.8    负:3     
  [2026-04-04 16:37:20] 胜:2.15   平:3.7    负:3     
  [2026-04-02 01:40:09] 胜:2.15   平:3.6    负:3.1   
  [2026-03-31 19:38:40] 胜:2.15   平:3.6    负:3     
  [2026-03-26 19:19:23] 胜:2.25   平:3.7    负:2.9   
  [2026-03-23 17:57:31] 胜:2.3    平:3.7    负:2.75  
  [2026-03-23 16:33:44] 胜:2.4    平:3.7    负:2.62  
  --------------------------------------------------
  机构: Bet365 (最近更新: 2026-04-05 02:17:45)
  [2026-04-05 02:17:45] 胜:2.1    平:3.75   负:3.2   
  [2026-04-03 14:37:33] 胜:2.15   平:3.75   负:3.1   
  [2026-04-03 10:41:46] 胜:2.15   平:3.6    负:3.2   
  [2026-04-01 08:59:41] 胜:2.2    平:3.6    负:3.1   
  [2026-03-31 10:44:10] 胜:2.15   平:3.5    负:3.1   
  [2026-03-27 00:04:14] 胜:2.2    平:3.5    负:3     
  [2026-03-24 05:33:53] 胜:2.25   平:3.5    负:2.9   
  [2026-03-23 23:08:38] 胜:2.3    平:3.5    负:2.8   
  [2026-03-23 23:01:35] 胜:2.25   平:3.5    负:2.9   
  [2026-03-23 06:25:23] 胜:2.3    平:3.5    负:2.8   
  [2026-03-23 03:30:34] 胜:2.38   平:3.5    负:2.7   
  [2026-03-16 20:29:51] 胜:2.45   平:3.5    负:2.63  
  [2026-03-16 19:37:43] 胜:2.55   平:3.5    负:2.55  
  [2026-03-16 17:05:17] 胜:2.3    平:3.5    负:2.8   
  [2026-03-16 01:00:29] 胜:2.2    平:3.5    负:3     
  [2026-03-16 00:29:27] 胜:2.4    平:3.5    负:2.7   
  --------------------------------------------------
  机构: Interwetten (最近更新: 2026-04-05 15:37:26)
  [2026-04-05 15:37:26] 胜:2.15   平:3.7    负:3.2   
  [2026-04-05 03:13:45] 胜:2.15   平:3.65   负:3.2   
  [2026-04-05 02:30:09] 胜:2.15   平:3.7    负:3.2   
  [2026-04-03 14:49:21] 胜:2.2    平:3.7    负:3.1   
  [2026-04-01 18:59:14] 胜:2.25   平:3.65   负:3.05  
  [2026-03-31 19:49:05] 胜:2.25   平:3.6    负:3.05  
  [2026-03-28 20:51:46] 胜:2.25   平:3.6    负:3     
  [2026-03-26 23:41:51] 胜:2.25   平:3.65   负:3     
  [2026-03-25 19:41:24] 胜:2.3    平:3.65   负:2.9   
  [2026-03-23 23:11:43] 胜:2.35   平:3.65   负:2.85  
  [2026-03-23 06:26:24] 胜:2.4    平:3.65   负:2.75  
  [2026-03-23 03:38:24] 胜:2.45   平:3.65   负:2.7   
  [2026-03-23 02:34:31] 胜:2.45   平:3.6    负:2.7   
  [2026-03-23 02:13:53] 胜:2.5    平:3.55   负:2.7   
  --------------------------------------------------
  机构: 皇冠 (最近更新: 2026-04-05 18:00:24)
  [2026-04-05 18:00:24] 胜:2.16   平:3.8    负:3.1   
  [2026-04-05 16:18:07] 胜:2.11   平:3.8    负:3.2   
  [2026-04-05 15:42:14] 胜:2.12   平:3.75   负:3.2   
  [2026-04-05 11:20:16] 胜:2.11   平:3.7    负:3.3   
  [2026-04-05 05:40:51] 胜:2.11   平:3.7    负:3.2   
  [2026-04-05 03:53:14] 胜:2.11   平:3.75   负:3.2   
  [2026-04-05 02:17:40] 胜:2.11   平:3.8    负:3.2   
  [2026-04-05 00:54:13] 胜:2.17   平:3.75   负:3.1   
  [2026-04-05 00:48:05] 胜:2.16   平:3.85   负:3     
  [2026-04-05 00:47:07] 胜:2.17   平:3.75   负:3.1   
  [2026-04-01 18:22:30] 胜:2.16   平:3.85   负:3.05  
  [2026-03-31 19:42:29] 胜:2.16   平:3.7    负:3.15  
  [2026-03-27 00:09:12] 胜:2.23   平:3.7    负:2.95  
  [2026-03-27 00:05:28] 胜:2.29   平:3.75   负:2.85  
  [2026-03-27 00:04:29] 胜:2.23   平:3.7    负:2.95  
  [2026-03-26 10:53:09] 胜:2.29   平:3.75   负:2.85  
  [2026-03-23 23:02:25] 胜:2.29   平:3.8    负:2.85  
  [2026-03-23 22:59:31] 胜:2.31   平:3.8    负:2.76  
  [2026-03-23 16:27:16] 胜:2.33   平:3.85   负:2.76  
  [2026-03-23 02:32:12] 胜:2.37   平:3.85   负:2.68  
  [2026-03-22 17:39:56] 胜:2.37   平:3.9    负:2.68  
  --------------------------------------------------
  机构: 平博 (最近更新: 2026-04-05 17:55:25)
  [2026-04-05 17:55:25] 胜:2.18   平:3.73   负:3.31  
  [2026-04-05 17:54:17] 胜:2.16   平:3.73   负:3.37  
  [2026-04-05 17:53:36] 胜:2.14   平:3.73   负:3.41  
  [2026-04-05 17:50:47] 胜:2.14   平:3.72   负:3.41  
  [2026-04-05 16:53:44] 胜:2.16   平:3.72   负:3.39  
  [2026-04-05 15:55:55] 胜:2.16   平:3.71   负:3.38  
  [2026-04-05 15:07:14] 胜:2.15   平:3.69   负:3.36  
  [2026-04-05 14:43:40] 胜:2.15   平:3.68   负:3.37  
  [2026-04-05 14:42:43] 胜:2.15   平:3.67   负:3.37  
  [2026-04-05 14:15:23] 胜:2.15   平:3.66   负:3.37  
  [2026-04-05 10:25:33] 胜:2.15   平:3.64   负:3.4   
  [2026-04-05 02:12:45] 胜:2.14   平:3.63   负:3.43  
  [2026-04-05 01:03:15] 胜:2.2    平:3.61   负:3.3   
  [2026-04-04 22:12:56] 胜:2.21   平:3.6    负:3.3   
  [2026-04-04 21:43:46] 胜:2.2    平:3.63   负:3.29  
  [2026-04-03 18:21:59] 胜:2.19   平:3.68   负:3.28  
  [2026-04-03 18:17:35] 胜:2.25   平:3.66   负:3.17  
  [2026-04-03 10:39:10] 胜:2.21   平:3.67   负:3.23  
  [2026-04-02 03:57:48] 胜:2.23   平:3.66   负:3.21  
  [2026-03-31 19:34:21] 胜:2.23   平:3.67   负:3.2   
  [2026-03-31 02:49:26] 胜:2.25   平:3.66   负:3.17  
  [2026-03-30 17:29:15] 胜:2.24   平:3.64   负:3.15  
  [2026-03-30 02:20:55] 胜:2.25   平:3.63   负:3.13  
  [2026-03-27 04:21:30] 胜:2.28   平:3.61   负:3.1   
  [2026-03-26 19:46:47] 胜:2.27   平:3.62   负:3.1   
  [2026-03-26 19:17:07] 胜:2.29   平:3.56   负:3.11  
  [2026-03-26 10:49:57] 胜:2.31   平:3.54   负:3.09  
  [2026-03-25 21:33:25] 胜:2.29   平:3.59   负:3.07  
  [2026-03-25 16:20:50] 胜:2.27   平:3.55   负:3.04  
  [2026-03-25 16:19:41] 胜:2.31   平:3.55   负:2.99  
  [2026-03-24 18:56:59] 胜:2.32   平:3.55   负:2.97  
  [2026-03-24 05:26:20] 胜:2.28   平:3.56   负:3.02  
  [2026-03-23 23:16:44] 胜:2.32   平:3.55   负:2.96  
  [2026-03-23 23:14:10] 胜:2.37   平:3.54   负:2.9   
  [2026-03-23 23:06:50] 胜:2.39   平:3.54   负:2.87  
  [2026-03-23 23:00:54] 胜:2.44   平:3.51   负:2.82  
  [2026-03-23 23:00:42] 胜:2.41   平:3.53   负:2.84  
  [2026-03-23 22:58:30] 胜:2.31   平:3.54   负:2.99  
  [2026-03-23 06:32:28] 胜:2.37   平:3.53   负:2.9   
  [2026-03-23 06:20:44] 胜:2.36   平:3.53   负:2.92  
  [2026-03-23 03:26:44] 胜:2.41   平:3.5    负:2.86  
  [2026-03-16 20:23:43] 胜:2.48   平:3.5    负:2.78  
  [2026-03-16 20:22:43] 胜:2.55   平:3.47   负:2.7   
  [2026-03-16 18:56:59] 胜:2.61   平:3.47   负:2.65  
  [2026-03-16 17:54:08] 胜:2.59   平:3.47   负:2.67  
  [2026-03-16 17:12:47] 胜:2.57   平:3.43   负:2.64  
  [2026-03-16 17:07:52] 胜:2.68   平:3.43   负:2.53  
  [2026-03-16 16:58:08] 胜:2.7    平:3.43   负:2.51  
  [2026-03-16 16:54:37] 胜:2.7    平:3.44   负:2.51  
  [2026-03-16 16:54:19] 胜:2.76   平:3.44   负:2.46  
  [2026-03-16 16:52:46] 胜:2.69   平:3.43   负:2.52  
  [2026-03-16 16:50:26] 胜:2.3    平:3.59   负:2.88  
  --------------------------------------------------
  机构: 利记 (最近更新: 2026-04-05 20:55:49)
  [2026-04-05 20:55:49] 胜:2.14   平:3.66   负:3.1   
  [2026-04-05 19:04:05] 胜:2.14   平:3.63   负:3.12  
  [2026-04-05 17:57:10] 胜:2.14   平:3.66   负:3.1   
  [2026-04-05 17:04:17] 胜:2.14   平:3.65   负:3.11  
  [2026-04-05 16:47:51] 胜:2.14   平:3.64   负:3.12  
  [2026-04-05 16:18:57] 胜:2.17   平:3.61   负:3.09  
  [2026-04-05 15:52:42] 胜:2.17   平:3.64   负:3.06  
  [2026-04-05 15:30:29] 胜:2.2    平:3.6    负:3.03  
  [2026-04-05 15:22:42] 胜:2.17   平:3.64   负:3.06  
  [2026-04-05 15:00:05] 胜:2.17   平:3.62   负:3.08  
  [2026-04-05 14:45:44] 胜:2.17   平:3.49   负:2.98  
  [2026-04-05 14:07:42] 胜:2.17   平:3.48   负:2.99  
  [2026-04-05 13:35:39] 胜:2.17   平:3.49   负:2.98  
  [2026-04-05 13:12:56] 胜:2.17   平:3.48   负:3     
  [2026-04-05 12:15:27] 胜:2.17   平:3.47   负:3     
  [2026-04-05 12:07:35] 胜:2.17   平:3.48   负:2.99  
  [2026-04-05 07:04:37] 胜:2.14   平:3.39   负:2.93  
  [2026-04-05 02:56:12] 胜:2.14   平:3.37   负:2.95  
  [2026-04-05 02:24:51] 胜:2.14   平:3.39   负:2.94  
  [2026-04-04 22:20:47] 胜:2.14   平:3.42   负:2.91  
  [2026-04-03 23:24:35] 胜:2.14   平:3.44   负:2.9   
  [2026-04-03 17:26:43] 胜:2.21   平:3.37   负:2.83  
  [2026-04-03 17:22:41] 胜:2.16   平:3.27   负:2.75  
  [2026-04-03 12:17:34] 胜:2.21   平:3.37   负:2.83  
  [2026-04-03 12:14:08] 胜:2.16   平:3.27   负:2.75  
  [2026-04-03 11:57:52] 胜:2.21   平:3.37   负:2.83  
  [2026-04-03 07:06:44] 胜:2.25   平:3.33   负:2.8   
  [2026-04-03 07:03:29] 胜:2.2    平:3.23   负:2.72  
  [2026-04-03 02:32:36] 胜:2.25   平:3.33   负:2.8   
  [2026-04-03 02:26:37] 胜:2.2    平:3.23   负:2.72  
  [2026-04-02 23:41:58] 胜:2.25   平:3.33   负:2.8   
  [2026-04-02 19:51:16] 胜:2.2    平:3.23   负:2.72  
  [2026-04-02 17:39:45] 胜:2.25   平:3.34   负:2.8   
  [2026-04-02 17:36:54] 胜:2.2    平:3.24   负:2.72  
  [2026-04-02 15:44:45] 胜:2.25   平:3.34   负:2.8   
  [2026-04-02 05:44:51] 胜:2.25   平:3.33   负:2.81  
  [2026-04-02 05:38:53] 胜:2.2    平:3.23   负:2.73  
  [2026-03-31 19:37:22] 胜:2.25   平:3.33   负:2.81  
  [2026-03-28 20:37:43] 胜:2.25   平:3.37   负:2.78  
  [2026-03-26 23:30:05] 胜:2.12   平:3.52   负:2.88  
  [2026-03-26 23:20:34] 胜:2.11   平:3.52   负:2.9   
  [2026-03-26 01:29:59] 胜:2.18   平:3.5    负:2.79  
  [2026-03-25 19:29:10] 胜:2.17   平:3.5    负:2.81  
  [2026-03-25 18:37:13] 胜:2.22   平:3.49   负:2.74  
  [2026-03-24 03:36:08] 胜:2.25   平:3.48   负:2.7   
  [2026-03-23 18:19:51] 胜:2.32   平:3.47   负:2.61  
  --------------------------------------------------


