============================================================
西甲 | 比赛时间: 2026-04-04 20:00 | 皇家社会 VS 莱万特 | ID: 1215930
============================================================

【 欧赔指数变动 】
  机构: 竞彩官方 (最近更新: 2026-04-03 09:41:31)
  [2026-03-25 21:31:08] 胜:1.64   平:3.92   负:5.3   
  [2026-03-25 21:30:10] 胜:1.65   平:3.88   负:5.23  
  [2026-03-25 21:26:15] 胜:1.61   平:4.03   负:5.43  
  [2026-03-25 21:25:52] 胜:1.65   平:3.88   负:5.24  
  [2026-03-25 21:23:57] 胜:1.6    平:4.03   负:5.44  
  [2026-03-25 21:22:26] 胜:1.61   平:4.01   负:5.4   
  [2026-03-25 21:18:09] 胜:1.63   平:3.93   负:5.3   
  [2026-03-25 21:14:58] 胜:1.61   平:4.02   负:5.43  
  [2026-03-25 21:13:11] 胜:1.57   平:4.14   负:5.58  
  [2026-03-24 04:56:55] 胜:1.54   平:4.29   负:5.77  
  [2026-03-22 03:49:15] 胜:1.52   平:4.36   负:5.86  
  [2026-03-18 11:32:52] 胜:1.53   平:4.3    负:5.86  
  [2026-03-16 17:59:11] 胜:1.53   平:4.31   负:5.86  
  [2026-03-16 16:56:33] 胜:1.52   平:4.25   负:5.74  
  --------------------------------------------------
  机构: 利记 (最近更新: 2026-04-04 18:17:20)
  [2026-04-04 18:57:39] 胜:1.6    平:4.22   负:5.3   
  [2026-04-04 18:17:20] 胜:1.62   平:4.12   负:5.2   
  [2026-04-04 18:06:47] 胜:1.62   平:4.13   负:5.2   
  [2026-04-04 18:03:58] 胜:1.62   平:4.14   负:5.2   
  [2026-04-04 18:00:13] 胜:1.62   平:4.15   负:5.2   
  [2026-04-04 17:56:19] 胜:1.61   平:4.01   负:5     
  [2026-04-04 17:50:35] 胜:1.6    平:4.05   负:5     
  [2026-04-04 17:43:34] 胜:1.59   平:4.06   负:5.1   
  [2026-04-04 17:39:52] 胜:1.59   平:4.08   负:5     
  [2026-04-04 17:06:45] 胜:1.6    平:4.04   负:5     
  [2026-04-04 16:59:11] 胜:1.6    平:4.03   负:5     
  [2026-04-04 16:39:53] 胜:1.59   平:4.07   负:5.1   
  [2026-04-04 16:36:16] 胜:1.6    平:4.02   负:5     
  [2026-04-04 16:27:36] 胜:1.62   平:3.97   负:4.96  
  [2026-04-04 16:21:49] 胜:1.62   平:3.98   负:4.96  
  [2026-04-04 16:06:18] 胜:1.62   平:3.99   负:4.94  
  [2026-04-04 15:13:29] 胜:1.62   平:4      负:4.93  
  [2026-04-04 15:11:56] 胜:1.61   平:4.03   负:4.97  
  [2026-04-04 15:02:08] 胜:1.61   平:3.95   负:4.85  
  [2026-04-04 14:24:42] 胜:1.6    平:3.97   负:4.92  
  [2026-04-04 13:10:07] 胜:1.6    平:3.95   负:4.95  
  [2026-04-04 12:30:56] 胜:1.6    平:3.94   负:4.95  
  [2026-04-04 12:19:41] 胜:1.6    平:3.93   负:4.97  
  [2026-04-04 12:10:55] 胜:1.6    平:3.9    负:5     
  [2026-04-04 12:05:08] 胜:1.6    平:3.75   负:4.78  
  [2026-04-04 11:49:59] 胜:1.58   平:3.8    负:4.89  
  [2026-04-04 07:26:45] 胜:1.58   平:3.81   负:4.88  
  [2026-04-04 03:59:47] 胜:1.58   平:3.8    负:4.88  
  [2026-04-04 03:57:34] 胜:1.55   平:3.89   负:5     
  [2026-04-03 19:12:33] 胜:1.54   平:3.89   负:5     
  [2026-04-03 19:09:59] 胜:1.51   平:3.77   负:4.84  
  [2026-04-03 11:29:58] 胜:1.54   平:3.89   负:5     
  [2026-04-03 11:26:32] 胜:1.51   平:3.77   负:4.84  
  [2026-04-03 09:12:25] 胜:1.54   平:3.89   负:5     
  [2026-04-03 09:09:00] 胜:1.51   平:3.77   负:4.84  
  [2026-04-03 07:35:15] 胜:1.54   平:3.89   负:5     
  [2026-04-03 07:31:59] 胜:1.51   平:3.77   负:4.84  
  [2026-04-02 19:07:15] 胜:1.54   平:3.89   负:5     
  [2026-04-02 19:03:54] 胜:1.51   平:3.77   负:4.84  
  [2026-04-02 07:30:57] 胜:1.54   平:3.89   负:5     
  [2026-04-02 07:28:03] 胜:1.51   平:3.77   负:4.84  
  [2026-04-02 00:40:05] 胜:1.54   平:3.89   负:5     
  [2026-04-02 00:34:14] 胜:1.51   平:3.77   负:4.84  
  [2026-04-01 20:36:49] 胜:1.54   平:3.89   负:5     
  [2026-04-01 20:22:17] 胜:1.54   平:3.88   负:5     
  [2026-03-31 17:55:48] 胜:1.55   平:3.87   负:5     
  [2026-03-31 17:53:37] 胜:1.52   平:3.75   负:4.84  
  [2026-03-31 17:46:12] 胜:1.55   平:3.87   负:5     
  [2026-03-31 00:02:57] 胜:1.57   平:3.83   负:4.93  
  [2026-03-30 17:35:53] 胜:1.56   平:3.84   负:4.93  
  [2026-03-30 17:32:33] 胜:1.56   平:3.83   负:4.95  
  [2026-03-30 16:32:22] 胜:1.57   平:3.82   负:4.92  
  [2026-03-30 16:07:29] 胜:1.57   平:3.81   负:4.95  
  [2026-03-30 13:29:06] 胜:1.58   平:3.76   负:4.94  
  [2026-03-29 21:12:55] 胜:1.61   平:3.71   负:4.71  
  [2026-03-28 19:42:59] 胜:1.6    平:3.72   负:4.76  
  [2026-03-26 20:17:49] 胜:1.6    平:3.74   负:4.78  
  [2026-03-26 20:05:31] 胜:1.6    平:3.76   负:4.72  
  [2026-03-26 08:51:52] 胜:1.57   平:3.82   负:4.92  
  [2026-03-25 22:28:16] 胜:1.55   平:3.85   负:5     
  [2026-03-25 21:19:39] 胜:1.54   平:3.88   负:5.1   
  [2026-03-25 21:16:44] 胜:1.53   平:3.9    负:5.2   
  [2026-03-16 19:59:25] 胜:1.5    平:3.95   负:5.4   
  --------------------------------------------------


