============================================================
法甲 | 比赛时间: 2026-04-05 23:15 | 洛里昂 VS 巴黎FC | ID: 1205724
============================================================

【 欧赔指数变动 】
  机构: 竞彩官方 (最近更新: 2026-04-03 09:41:31)
  [2026-04-05 05:30:07] 胜:2.33   平:3.06   负:2.89  
  [2026-04-05 04:14:19] 胜:2.33   平:3.05   负:2.9   
  [2026-04-05 03:11:58] 胜:2.33   平:3.03   负:2.92  
  [2026-04-04 18:07:28] 胜:2.25   平:3.06   负:3.03  
  [2026-04-03 18:15:11] 胜:2.25   平:3.08   负:3.01  
  [2026-04-02 18:09:42] 胜:2.25   平:3.06   负:3.03  
  [2026-04-02 14:16:41] 胜:2.14   平:3.15   负:3.16  
  [2026-04-01 23:55:27] 胜:2.19   平:3.14   负:3.06  
  [2026-04-01 23:53:06] 胜:2.14   平:3.05   负:2.97  
  [2026-04-01 23:15:45] 胜:2.19   平:3.14   负:3.06  
  [2026-04-01 23:09:29] 胜:2.14   平:3.05   负:2.97  
  [2026-04-01 19:09:23] 胜:2.19   平:3.14   负:3.06  
  [2026-03-31 17:49:43] 胜:2.19   平:3.13   负:3.06  
  [2026-03-30 00:15:10] 胜:2.19   平:3.14   负:3.06  
  [2026-03-29 23:44:53] 胜:2.2    平:3.13   负:3.04  
  [2026-03-26 20:08:24] 胜:2.23   平:3.12   负:3     
  [2026-03-26 01:29:42] 胜:2.24   平:3.09   负:3.02  
  [2026-03-23 18:19:07] 胜:2.29   平:3.08   负:2.94  
  --------------------------------------------------


