============================================================
西甲 | 比赛时间: 2026-04-06 03:00 | 阿拉维斯 VS 奥萨苏纳 | ID: 1215884
============================================================

【 亚盘指数变动 】
  机构: 威廉希尔
  [04-05 15:26] 上:1.600  盘:半球升      下:0.500 
  [03-28 02:50] 上:1.110  盘:平手/半球    下:0.780 
  [03-28 01:29] 上:1.120  盘:平手/半球    下:0.790 
  [03-28 01:22] 上:1.110  盘:平手/半球    下:0.780 
  [03-28 00:54] 上:1.120  盘:平手/半球    下:0.790 
  [03-28 00:50] 上:1.110  盘:平手/半球    下:0.780 
  [03-27 11:52] 上:1.120  盘:平手/半球    下:0.790 
  [03-27 11:48] 上:1.110  盘:平手/半球    下:0.780 
  [03-27 07:51] 上:1.120  盘:平手/半球    下:0.790 
  [03-27 07:48] 上:1.110  盘:平手/半球    下:0.780 
  [03-27 07:41] 上:1.120  盘:平手/半球    下:0.790 
  [03-27 07:37] 上:1.110  盘:平手/半球    下:0.780 
  [03-26 05:42] 上:1.120  盘:平手/半球    下:0.790 
  [03-26 05:32] 上:1.110  盘:平手/半球    下:0.780 
  [03-25 00:00] 上:1.120  盘:平手/半球    下:0.790 
  [03-24 23:57] 上:1.110  盘:平手/半球    下:0.780 
  [03-24 08:38] 上:1.120  盘:平手/半球    下:0.790 
  [03-24 06:34] 上:1.160  盘:平手/半球    下:0.760 
  [03-24 06:31] 上:1.140  盘:平手/半球    下:0.750 
  [03-24 04:15] 上:1.160  盘:平手/半球    下:0.760 
  [03-24 04:11] 上:1.140  盘:平手/半球    下:0.750 
  [03-24 02:20] 上:1.160  盘:平手/半球    下:0.760 
  [03-24 02:18] 上:1.140  盘:平手/半球    下:0.750 
  [03-23 22:00] 上:1.160  盘:平手/半球    下:0.760 
  [03-23 21:57] 上:1.140  盘:平手/半球    下:0.750 
  [03-23 19:18] 上:1.160  盘:平手/半球    下:0.760 
  [03-23 19:16] 上:1.140  盘:平手/半球    下:0.750 
  [03-23 17:33] 上:1.160  盘:平手/半球    下:0.760 
  [03-23 17:29] 上:1.140  盘:平手/半球    下:0.750 
  [03-23 12:27] 上:1.160  盘:平手/半球    下:0.760 
  [03-23 12:25] 上:1.140  盘:平手/半球    下:0.750 
  [03-23 01:52] 上:1.160  盘:平手/半球    下:0.760 
  [03-23 01:51] 上:1.140  盘:平手/半球    下:0.750 
  [03-23 01:40] 上:1.160  盘:平手/半球    下:0.760 
  [03-23 01:38] 上:1.140  盘:平手/半球    下:0.750 
  [03-22 06:34] 上:1.160  盘:平手/半球    下:0.760 
  [03-22 03:57] 上:1.130  盘:平手/半球    下:0.780 
  [03-22 03:54] 上:1.120  盘:平手/半球    下:0.770 
  [03-20 21:29] 上:1.130  盘:平手/半球    下:0.780 
  [03-20 21:27] 上:1.120  盘:平手/半球    下:0.770 
  [03-20 13:05] 上:1.130  盘:平手/半球    下:0.780 
  [03-20 13:02] 上:1.120  盘:平手/半球    下:0.770 
  [03-20 09:47] 上:1.130  盘:平手/半球    下:0.780 
  [03-20 09:44] 上:1.120  盘:平手/半球    下:0.770 
  [03-19 16:06] 上:1.130  盘:平手/半球    下:0.780 
  [03-19 16:02] 上:1.120  盘:平手/半球    下:0.770 
  [03-19 14:04] 上:1.130  盘:平手/半球    下:0.780 
  [03-19 14:01] 上:1.120  盘:平手/半球    下:0.770 
  [03-19 04:17] 上:1.130  盘:平手/半球    下:0.780 
  [03-19 04:11] 上:1.120  盘:平手/半球    下:0.770 
  [03-18 16:01] 上:1.130  盘:平手/半球    下:0.780 
  [03-18 15:58] 上:1.120  盘:平手/半球    下:0.770 
  [03-17 13:24] 上:1.130  盘:平手/半球    下:0.780 
  [03-17 13:21] 上:1.120  盘:平手/半球    下:0.770 
  [03-17 02:01] 上:1.130  盘:平手/半球    下:0.780 
  [03-17 01:59] 上:1.120  盘:平手/半球    下:0.770 
  --------------------------------------------------


